country,code,strain,year,yearID,num_epis,epidID
Canada,CAN,INF_B,2015,CANB15,1,CANB151221
Canada,CAN,INF_B,2016,CANB16,1,CANB161226
Canada,CAN,INF_B,2017,CANB17,1,CANB171023
Canada,CAN,INF_B,2018,CANB18,1,CANB181231
Canada,CAN,INF_B,2019,CANB19,1,CANB191104
China,CHN,INF_B,2010,CHNB10,1,CHNB100104
China,CHN,INF_B,2011,CHNB11,2,"c(""CHNB110207"", ""CHNB111107"")"
China,CHN,INF_B,2012,CHNB12,0,character(0)
China,CHN,INF_B,2013,CHNB13,1,CHNB131014
China,CHN,INF_B,2014,CHNB14,1,CHNB141208
China,CHN,INF_B,2015,CHNB15,1,CHNB151207
China,CHN,INF_B,2016,CHNB16,0,character(0)
China,CHN,INF_B,2017,CHNB17,2,"c(""CHNB170220"", ""CHNB171009"")"
China,CHN,INF_B,2018,CHNB18,0,character(0)
China,CHN,INF_B,2019,CHNB19,2,"c(""CHNB190204"", ""CHNB191104"")"
Ghana,GHA,INF_B,2010,GHAB10,0,character(0)
Ghana,GHA,INF_B,2011,GHAB11,1,GHAB110321
Ghana,GHA,INF_B,2012,GHAB12,1,GHAB120611
Ghana,GHA,INF_B,2013,GHAB13,1,GHAB131209
Ghana,GHA,INF_B,2014,GHAB14,0,character(0)
Ghana,GHA,INF_B,2015,GHAB15,1,GHAB150316
Ghana,GHA,INF_B,2016,GHAB16,1,GHAB160725
Ghana,GHA,INF_B,2017,GHAB17,1,GHAB171211
Ghana,GHA,INF_B,2018,GHAB18,1,GHAB180903
Ghana,GHA,INF_B,2019,GHAB19,1,GHAB190909
Turkey,TUR,INF_B,2010,TURB10,1,TURB101213
Turkey,TUR,INF_B,2011,TURB11,0,character(0)
Turkey,TUR,INF_B,2012,TURB12,1,TURB120109
Turkey,TUR,INF_B,2013,TURB13,1,TURB131223
Turkey,TUR,INF_B,2014,TURB14,0,character(0)
Turkey,TUR,INF_B,2015,TURB15,1,TURB150202
Turkey,TUR,INF_B,2016,TURB16,2,"c(""TURB160104"", ""TURB161205"")"
Turkey,TUR,INF_B,2017,TURB17,1,TURB171211
Turkey,TUR,INF_B,2018,TURB18,0,character(0)
Turkey,TUR,INF_B,2019,TURB19,0,character(0)
United Kingdom,GBR,INF_B,2010,GBRB10,1,GBRB101122
United Kingdom,GBR,INF_B,2011,GBRB11,0,character(0)
United Kingdom,GBR,INF_B,2012,GBRB12,1,GBRB121029
United Kingdom,GBR,INF_B,2013,GBRB13,0,character(0)
United Kingdom,GBR,INF_B,2014,GBRB14,0,character(0)
United Kingdom,GBR,INF_B,2015,GBRB15,2,"c(""GBRB150126"", ""GBRB151109"")"
United Kingdom,GBR,INF_B,2016,GBRB16,1,GBRB161205
United Kingdom,GBR,INF_B,2017,GBRB17,1,GBRB171002
United Kingdom,GBR,INF_B,2018,GBRB18,0,character(0)
United Kingdom,GBR,INF_B,2019,GBRB19,1,GBRB190930
