country,code,strain,year,month,day,epidID,epidemic_index
Ghana,GHA,INF_A,2017,09,04,GHAA170904,8
Ghana,GHA,INF_A,2018,09,17,GHAA180917,9
Ghana,GHA,INF_A,2019,05,13,GHAA190513,10
Ghana,GHA,INF_A,2019,09,30,GHAA190930,11
Ghana,GHA,INF_B,2011,03,21,GHAB110321,1
Ghana,GHA,INF_B,2012,06,11,GHAB120611,2
Ghana,GHA,INF_B,2013,12,09,GHAB131209,3
Ghana,GHA,INF_B,2015,03,16,GHAB150316,4
Ghana,GHA,INF_B,2016,07,25,GHAB160725,5
Ghana,GHA,INF_B,2017,12,11,GHAB171211,6
Ghana,GHA,INF_B,2018,09,03,GHAB180903,7
Ghana,GHA,INF_B,2019,09,09,GHAB190909,8
Turkey,TUR,INF_A,2010,12,27,TURA101227,1
Turkey,TUR,INF_A,2011,11,14,TURA111114,2
Turkey,TUR,INF_A,2012,10,29,TURA121029,3
Turkey,TUR,INF_A,2013,11,18,TURA131118,4
Turkey,TUR,INF_A,2015,01,26,TURA150126,5
Turkey,TUR,INF_A,2015,12,07,TURA151207,6
Turkey,TUR,INF_A,2016,12,12,TURA161212,7
Turkey,TUR,INF_A,2017,11,13,TURA171113,8
Turkey,TUR,INF_A,2018,12,17,TURA181217,9
Turkey,TUR,INF_A,2019,12,02,TURA191202,10
Turkey,TUR,INF_B,2010,12,13,TURB101213,1
Turkey,TUR,INF_B,2012,01,09,TURB120109,2
Turkey,TUR,INF_B,2013,12,23,TURB131223,3
Turkey,TUR,INF_B,2015,02,02,TURB150202,4
Turkey,TUR,INF_B,2016,01,04,TURB160104,5
Turkey,TUR,INF_B,2016,12,05,TURB161205,6
Turkey,TUR,INF_B,2017,12,11,TURB171211,7
