country_code,simulation_index,age_grp,value
AZE,1,1,324802.0692281254
AZE,2,1,333503.02253807854
AZE,3,1,338568.6780167218
AZE,4,1,330048.61748550273
AZE,5,1,326989.89464579127
AZE,6,1,328643.59439271205
AZE,7,1,326918.21874468075
AZE,8,1,324178.8132891334
AZE,9,1,332591.18844574003
AZE,10,1,324100.8617196979
AZE,11,1,333565.5692683679
AZE,12,1,316276.8195757364
AZE,13,1,332860.13364751084
AZE,14,1,337530.23794425186
AZE,15,1,328909.860570234
AZE,16,1,327146.000603537
AZE,17,1,326254.7326500693
AZE,18,1,319562.3124984777
AZE,19,1,328124.08690409415
AZE,20,1,324838.4054344986
AZE,21,1,321733.23400832206
AZE,22,1,335008.49722950393
AZE,23,1,328911.59015739575
AZE,24,1,330647.4043994774
AZE,25,1,327011.94135030865
AZE,26,1,324420.98891767237
AZE,27,1,334077.70240739745
AZE,28,1,334826.0164201713
AZE,29,1,328544.3331681488
AZE,30,1,321475.0275780315
AZE,31,1,325708.93815201847
AZE,32,1,331099.33789876977
AZE,33,1,328295.9840663808
AZE,34,1,325089.3849770375
AZE,35,1,328328.4489493558
AZE,36,1,328572.96414392424
AZE,37,1,325480.01696744893
AZE,38,1,325335.3478433038
AZE,39,1,327864.5466421084
AZE,40,1,331454.3659843847
AZE,41,1,324457.39894097165
AZE,42,1,328455.19329201535
AZE,43,1,322886.6576774109
AZE,44,1,327890.9426056431
AZE,45,1,333399.43365060544
AZE,46,1,327007.4650164317
AZE,47,1,316409.34471925464
AZE,48,1,327939.3173351718
AZE,49,1,325764.620894043
AZE,50,1,329420.03602122684
AZE,51,1,321597.5818632068
AZE,52,1,321880.3489314647
AZE,53,1,329197.47844454687
AZE,54,1,332760.68357777165
AZE,55,1,330297.471699201
AZE,56,1,326576.14153428975
AZE,57,1,330788.3362873885
AZE,58,1,319577.57594653685
AZE,59,1,328576.93316578766
AZE,60,1,326345.0680837804
AZE,61,1,322050.3677588773
AZE,62,1,329043.55226648995
AZE,63,1,327072.9387884952
AZE,64,1,323327.6954682069
AZE,65,1,333568.74262030143
AZE,66,1,325428.006162113
AZE,67,1,322869.6586607777
AZE,68,1,325843.89999873156
AZE,69,1,337348.5156329599
AZE,70,1,322077.1505211882
AZE,71,1,324552.5552232757
