country_code,simulation_index,age_grp,value
AZE,64,2,1287446.826791223
AZE,65,2,1293901.6776456684
AZE,66,2,1285658.1013023832
AZE,67,2,1263632.5819450498
AZE,68,2,1288569.0276174184
AZE,69,2,1316852.7584762105
AZE,70,2,1280167.4244498655
AZE,71,2,1277197.5346755974
AZE,72,2,1304802.21857855
AZE,73,2,1266630.422280168
AZE,74,2,1273328.811747261
AZE,75,2,1282115.5929071316
AZE,76,2,1273217.5382270396
AZE,77,2,1301973.9572599025
AZE,78,2,1290814.8509555242
AZE,79,2,1301070.3531220541
AZE,80,2,1286504.0187903277
AZE,81,2,1278942.2190438034
AZE,82,2,1277627.389742692
AZE,83,2,1269313.8568781614
AZE,84,2,1269745.5455301695
AZE,85,2,1289936.5395159412
AZE,86,2,1276431.3037402919
AZE,87,2,1277401.2621178785
AZE,88,2,1295487.9566122734
AZE,89,2,1297281.121190742
AZE,90,2,1313330.3847477173
AZE,91,2,1278408.202880009
AZE,92,2,1263694.7622568216
AZE,93,2,1266990.0688816926
AZE,94,2,1278143.0041898927
AZE,95,2,1284612.8179917317
AZE,96,2,1239197.948670449
AZE,97,2,1286201.8736000024
AZE,98,2,1286885.1064908982
AZE,99,2,1285420.213185868
AZE,100,2,1285906.3066599625
AZE,1,3,2637546.338050297
AZE,2,3,2673488.6085596834
AZE,3,3,2718452.7911090804
AZE,4,3,2671130.8731723013
AZE,5,3,2679431.344033048
AZE,6,3,2644547.086308666
AZE,7,3,2621104.8609407246
AZE,8,3,2635464.068849131
AZE,9,3,2660602.22216689
AZE,10,3,2592328.4683720563
AZE,11,3,2709656.253524119
AZE,12,3,2570332.344102558
AZE,13,3,2660542.8775698286
AZE,14,3,2688400.587685868
AZE,15,3,2668897.119213426
AZE,16,3,2644098.2736875373
AZE,17,3,2612708.5885455
AZE,18,3,2574696.5794781805
AZE,19,3,2643782.003116181
AZE,20,3,2601940.8191392627
AZE,21,3,2610967.8244770053
AZE,22,3,2685476.910967027
AZE,23,3,2646257.6337372717
AZE,24,3,2670634.9457926233
AZE,25,3,2666494.694760936
AZE,26,3,2617588.035775686
AZE,27,3,2683297.3846049407
AZE,28,3,2703207.059291525
AZE,29,3,2639783.5407380546
AZE,30,3,2625646.8401020933
AZE,31,3,2658026.3592742817
AZE,32,3,2653606.478238016
AZE,33,3,2635855.947261907
AZE,34,3,2640493.5686179805
AZE,35,3,2607191.9352029576
AZE,36,3,2656713.216821073
AZE,37,3,2625309.54907448
AZE,38,3,2620823.9330988466
AZE,39,3,2620161.3217095775
AZE,40,3,2646536.0351549997
AZE,41,3,2636387.5631403667
AZE,42,3,2674479.181634388
AZE,43,3,2630384.465553395
AZE,44,3,2623533.0562083893
AZE,45,3,2671625.8846547506
AZE,46,3,2667289.33494412
AZE,47,3,2573097.892779182
AZE,48,3,2656751.6016339418
AZE,49,3,2608716.2484455192
AZE,50,3,2631151.857247394
AZE,51,3,2598303.3538470473
AZE,52,3,2619444.2877820213
AZE,53,3,2633834.8729031235
AZE,54,3,2700402.045510013
AZE,55,3,2651144.2752400856
AZE,56,3,2671784.943247771
AZE,57,3,2649034.082507668
AZE,58,3,2614989.4975952576
AZE,59,3,2609117.85204978
AZE,60,3,2640501.1885122815
AZE,61,3,2603468.150973273
AZE,62,3,2656372.1981498804
AZE,63,3,2637011.850995939
AZE,64,3,2652036.5225593005
AZE,65,3,2663826.03479673
AZE,66,3,2650577.244448259
AZE,67,3,2596601.4694869556
AZE,68,3,2655932.8047071537
AZE,69,3,2721228.6377287735
AZE,70,3,2630093.7297439496
AZE,71,3,2631390.0117772217
AZE,72,3,2693567.6495563113
AZE,73,3,2604146.3467560895
AZE,74,3,2619345.0708459937
AZE,75,3,2643938.855271471
AZE,76,3,2621002.0133049483
AZE,77,3,2685269.831038141
AZE,78,3,2658343.458162375
AZE,79,3,2679484.7346993084
AZE,80,3,2652262.7410949934
AZE,81,3,2631397.8481424046
AZE,82,3,2629119.0307770534
AZE,83,3,2608363.804827427
AZE,84,3,2612618.6994245574
AZE,85,3,2659057.860428912
AZE,86,3,2631894.8932438246
AZE,87,3,2623058.497829718
AZE,88,3,2669436.167335319
AZE,89,3,2672863.7769456157
AZE,90,3,2706091.1134669543
AZE,91,3,2624209.6390852
AZE,92,3,2599934.2114291172
AZE,93,3,2605223.8882011585
AZE,94,3,2635748.580224197
AZE,95,3,2643042.309553711
AZE,96,3,2546905.9345919956
AZE,97,3,2649595.7482992294
AZE,98,3,2653077.646731202
AZE,99,3,2654331.69247902
AZE,100,3,2650907.160753618
AZE,1,4,167141.3305126351
AZE,2,4,169441.38953452543
AZE,3,4,172381.39231479765
AZE,4,4,169434.0541348333
AZE,5,4,169873.13706369288
AZE,6,4,167623.5790943509
AZE,7,4,166280.18237794316
AZE,8,4,167158.46585805042
AZE,9,4,168766.04582857047
AZE,10,4,164201.0438436894
AZE,11,4,171955.61446314768
AZE,12,4,162906.6355636978
AZE,13,4,168785.34539944117
AZE,14,4,170524.6540839963
AZE,15,4,169353.5269456247
AZE,16,4,167643.77857297738
AZE,17,4,165550.928040061
AZE,18,4,163296.78729797996
AZE,19,4,167682.19583600957
AZE,20,4,164854.89120820945
AZE,21,4,165608.47965352252
AZE,22,4,170294.58979753702
AZE,23,4,167813.60294026646
AZE,24,4,169513.80854160964
AZE,25,4,168964.6039068659
AZE,26,4,165844.33168535252
AZE,27,4,170115.32257627955
AZE,28,4,171384.16245456177
AZE,29,4,167430.21992440816
AZE,30,4,166272.1547997659
AZE,31,4,168801.20479103646
AZE,32,4,168329.9272256661
AZE,33,4,167250.760074401
AZE,34,4,167440.56190479253
AZE,35,4,165269.40202287186
AZE,36,4,168594.58183070194
AZE,37,4,166346.31285476382
AZE,38,4,166051.6318988712
AZE,39,4,166090.4549038064
AZE,40,4,167708.98335922012
AZE,41,4,167178.22446553057
AZE,42,4,169488.2611723177
AZE,43,4,166736.37300104203
AZE,44,4,166395.96015717927
AZE,45,4,169446.745025917
AZE,46,4,169059.40038156722
AZE,47,4,163084.21913182657
AZE,48,4,168629.53579621192
AZE,49,4,165328.45070743456
AZE,50,4,166808.25848496312
AZE,51,4,164630.25263809125
AZE,52,4,166017.60656635286
AZE,53,4,166877.03931257952
AZE,54,4,171278.2297475318
AZE,55,4,168177.8659859645
AZE,56,4,169433.42011992174
AZE,57,4,167817.56202478614
AZE,58,4,165701.28108581656
AZE,59,4,165409.09954057375
AZE,60,4,167317.6552529284
AZE,61,4,164931.61671907114
AZE,62,4,168568.13795433578
AZE,63,4,167217.7378225711
AZE,64,4,168182.38774972185
AZE,65,4,168889.23561828546
AZE,66,4,168170.42054183516
AZE,67,4,164459.23014517754
AZE,68,4,168491.10029581215
AZE,69,4,172826.01241964413
AZE,70,4,166596.8768544369
AZE,71,4,166882.2436061478
AZE,72,4,171006.16986632487
AZE,73,4,165002.34715439237
AZE,74,4,166019.23754158473
AZE,75,4,167756.53110113426
AZE,76,4,166162.93864972587
AZE,77,4,170408.9043363767
AZE,78,4,168568.9085923115
AZE,79,4,169918.40528797507
AZE,80,4,168264.77555506545
AZE,81,4,166765.88122175212
AZE,82,4,166645.78056876772
AZE,83,4,165213.64937858997
AZE,84,4,165593.54901526435
AZE,85,4,168691.02764476626
AZE,86,4,166977.46709448544
AZE,87,4,166101.53813066662
AZE,88,4,169337.1614120998
AZE,89,4,169516.01256546078
AZE,90,4,171640.0869025077
AZE,91,4,166140.4099379383
AZE,92,4,164776.2098353868
AZE,93,4,165069.81449754766
AZE,94,4,167258.25309546443
AZE,95,4,167527.9658771636
AZE,96,4,161332.04887637138
AZE,97,4,168028.9218996251
AZE,98,4,168294.50231202715
AZE,99,4,168550.8666750199
AZE,100,4,168178.50840933385
