country_code,median,lower95,upper95
ARG,111.49995749751766,84.32659572998924,146.04044860014028
AUS,14.945426880402914,8.877028373325114,29.719438711745894
FJI,14.945426880402914,8.877028373325114,29.719438711745894
NCL,14.945426880402914,8.877028373325114,29.719438711745894
NZL,14.945426880402914,8.877028373325114,29.719438711745894
SLB,14.945426880402914,8.877028373325114,29.719438711745894
TON,14.945426880402914,8.877028373325114,29.719438711745894
VUT,14.945426880402914,8.877028373325114,29.719438711745894
WSM,14.945426880402914,8.877028373325114,29.719438711745894
BHS,19.516478687126597,13.685871601201512,30.06950655572633
BLZ,19.516478687126597,13.685871601201512,30.06950655572633
CAN,19.516478687126597,13.685871601201512,30.06950655572633
CUB,19.516478687126597,13.685871601201512,30.06950655572633
ECU,19.516478687126597,13.685871601201512,30.06950655572633
GTM,19.516478687126597,13.685871601201512,30.06950655572633
HND,19.516478687126597,13.685871601201512,30.06950655572633
MEX,19.516478687126597,13.685871601201512,30.06950655572633
NIC,19.516478687126597,13.685871601201512,30.06950655572633
PER,19.516478687126597,13.685871601201512,30.06950655572633
PRI,19.516478687126597,13.685871601201512,30.06950655572633
USA,19.516478687126597,13.685871601201512,30.06950655572633
ALB,53.99996757833677,18.392608900986648,98.22610738536963
AUT,53.99996757833677,18.392608900986648,98.22610738536963
BEL,53.99996757833677,18.392608900986648,98.22610738536963
BGR,53.99996757833677,18.392608900986648,98.22610738536963
BIH,53.99996757833677,18.392608900986648,98.22610738536963
BLR,53.99996757833677,18.392608900986648,98.22610738536963
CHE,53.99996757833677,18.392608900986648,98.22610738536963
CZE,53.99996757833677,18.392608900986648,98.22610738536963
DEU,53.99996757833677,18.392608900986648,98.22610738536963
DNK,53.99996757833677,18.392608900986648,98.22610738536963
DZA,53.99996757833677,18.392608900986648,98.22610738536963
ESP,53.99996757833677,18.392608900986648,98.22610738536963
EST,53.99996757833677,18.392608900986648,98.22610738536963
FIN,53.99996757833677,18.392608900986648,98.22610738536963
FRA,53.99996757833677,18.392608900986648,98.22610738536963
GBR,53.99996757833677,18.392608900986648,98.22610738536963
GRC,53.99996757833677,18.392608900986648,98.22610738536963
HRV,53.99996757833677,18.392608900986648,98.22610738536963
HUN,53.99996757833677,18.392608900986648,98.22610738536963
IRL,53.99996757833677,18.392608900986648,98.22610738536963
ISL,53.99996757833677,18.392608900986648,98.22610738536963
ITA,53.99996757833677,18.392608900986648,98.22610738536963
LBY,53.99996757833677,18.392608900986648,98.22610738536963
LTU,53.99996757833677,18.392608900986648,98.22610738536963
LUX,53.99996757833677,18.392608900986648,98.22610738536963
LVA,53.99996757833677,18.392608900986648,98.22610738536963
MAR,53.99996757833677,18.392608900986648,98.22610738536963
MDA,53.99996757833677,18.392608900986648,98.22610738536963
MKD,53.99996757833677,18.392608900986648,98.22610738536963
MLT,53.99996757833677,18.392608900986648,98.22610738536963
MNE,53.99996757833677,18.392608900986648,98.22610738536963
NLD,53.99996757833677,18.392608900986648,98.22610738536963
NOR,53.99996757833677,18.392608900986648,98.22610738536963
POL,53.99996757833677,18.392608900986648,98.22610738536963
PRT,53.99996757833677,18.392608900986648,98.22610738536963
ROU,53.99996757833677,18.392608900986648,98.22610738536963
SRB,53.99996757833677,18.392608900986648,98.22610738536963
SVK,53.99996757833677,18.392608900986648,98.22610738536963
SVN,53.99996757833677,18.392608900986648,98.22610738536963
SWE,53.99996757833677,18.392608900986648,98.22610738536963
TUN,53.99996757833677,18.392608900986648,98.22610738536963
UKR,53.99996757833677,18.392608900986648,98.22610738536963
XKX,53.99996757833677,18.392608900986648,98.22610738536963
BOL,8.877575558732882,4.57120920392534,17.356852940628908
BRA,8.877575558732882,4.57120920392534,17.356852940628908
BRB,8.877575558732882,4.57120920392534,17.356852940628908
CHL,8.877575558732882,4.57120920392534,17.356852940628908
COL,8.877575558732882,4.57120920392534,17.356852940628908
CRI,8.877575558732882,4.57120920392534,17.356852940628908
DOM,8.877575558732882,4.57120920392534,17.356852940628908
GUF,8.877575558732882,4.57120920392534,17.356852940628908
GUY,8.877575558732882,4.57120920392534,17.356852940628908
HTI,8.877575558732882,4.57120920392534,17.356852940628908
JAM,8.877575558732882,4.57120920392534,17.356852940628908
LCA,8.877575558732882,4.57120920392534,17.356852940628908
PAN,8.877575558732882,4.57120920392534,17.356852940628908
PRY,8.877575558732882,4.57120920392534,17.356852940628908
SLV,8.877575558732882,4.57120920392534,17.356852940628908
SUR,8.877575558732882,4.57120920392534,17.356852940628908
TTO,8.877575558732882,4.57120920392534,17.356852940628908
URY,8.877575558732882,4.57120920392534,17.356852940628908
VCT,8.877575558732882,4.57120920392534,17.356852940628908
VEN,8.877575558732882,4.57120920392534,17.356852940628908
BGD,18.335071577507005,4.523792554099061,51.80556607238607
BRN,21.68436997815688,7.435713620709234,62.834581581789536
BTN,24.10370812181856,8.029564242081257,55.44446139070908
CHN,26.458259404728107,17.87279409776254,36.86092249767497
HKG,19.19745015997727,15.664760139675048,22.496194935225706
IDN,28.19730866055896,9.037493341651771,66.59245615615703
IND,26.830340705789922,18.198917294999738,38.05351163182715
KHM,30.386219524480364,11.343520270015675,67.30071527391453
KOR,6.463741052883529,4.003604174552359,10.325881714356203
LAO,29.34952789764587,11.402315135155154,56.35572960562136
LKA,15.46927620902365,4.67729882760326,34.871130713969976
MAC,17.916023883466334,11.59112431897717,26.091038621160106
MDV,20.911455180458038,6.380799272841885,49.60048405830348
MMR,29.440482707265897,9.05329188923178,56.22951805554211
MNG,7.253920905796865,4.300613552694278,12.553321698715097
