country_code,age_grp,median,lower95,upper95
ARG,0-4,19.866158294049516,15.26661917931128,26.392582298016766
ARG,5-19,1.9478543949414053,1.4968747769026567,2.587762901216947
ARG,20-64,24.5044773931888,18.83104518813331,32.554680512303314
ARG,65+,1165.1230400383185,837.7163618146072,1548.0446432048097
AUS,0-4,1.405740248124952,0.9166282670654526,2.5053608495928676
AUS,5-19,0.3110583538581431,0.20282899364483317,0.55437939031374
AUS,20-64,3.5708063011488056,2.3283832103507445,6.364019469678397
AUS,65+,154.6688331531675,75.16262801771367,323.8394646802175
FJI,0-4,1.405740248124952,0.9166282670654526,2.5053608495928676
FJI,5-19,0.3110583538581431,0.20282899364483317,0.55437939031374
FJI,20-64,3.5708063011488056,2.3283832103507445,6.364019469678397
FJI,65+,154.6688331531675,75.16262801771367,323.8394646802175
NCL,0-4,1.405740248124952,0.9166282670654526,2.5053608495928676
NCL,5-19,0.3110583538581431,0.20282899364483317,0.55437939031374
NCL,20-64,3.5708063011488056,2.3283832103507445,6.364019469678397
NCL,65+,154.6688331531675,75.16262801771367,323.8394646802175
NZL,0-4,1.405740248124952,0.9166282670654526,2.5053608495928676
NZL,5-19,0.3110583538581431,0.20282899364483317,0.55437939031374
NZL,20-64,3.5708063011488056,2.3283832103507445,6.364019469678397
NZL,65+,154.6688331531675,75.16262801771367,323.8394646802175
SLB,0-4,1.405740248124952,0.9166282670654526,2.5053608495928676
SLB,5-19,0.3110583538581431,0.20282899364483317,0.55437939031374
SLB,20-64,3.5708063011488056,2.3283832103507445,6.364019469678397
SLB,65+,154.6688331531675,75.16262801771367,323.8394646802175
TON,0-4,1.405740248124952,0.9166282670654526,2.5053608495928676
TON,5-19,0.3110583538581431,0.20282899364483317,0.55437939031374
TON,20-64,3.5708063011488056,2.3283832103507445,6.364019469678397
TON,65+,154.6688331531675,75.16262801771367,323.8394646802175
VUT,0-4,1.405740248124952,0.9166282670654526,2.5053608495928676
VUT,5-19,0.3110583538581431,0.20282899364483317,0.55437939031374
VUT,20-64,3.5708063011488056,2.3283832103507445,6.364019469678397
VUT,65+,154.6688331531675,75.16262801771367,323.8394646802175
WSM,0-4,1.405740248124952,0.9166282670654526,2.5053608495928676
WSM,5-19,0.3110583538581431,0.20282899364483317,0.55437939031374
WSM,20-64,3.5708063011488056,2.3283832103507445,6.364019469678397
WSM,65+,154.6688331531675,75.16262801771367,323.8394646802175
BHS,0-4,1.0074761299459252,0.7205587869393477,1.4402274855925694
BHS,5-19,0.1714539977573638,0.1226259173471223,0.24510035795898782
BHS,20-64,2.196096397350182,1.5706739932006648,3.1394077720177
BHS,65+,221.1658597651195,149.5988127732235,348.288212146647
BLZ,0-4,1.0074761299459252,0.7205587869393477,1.4402274855925694
BLZ,5-19,0.1714539977573638,0.1226259173471223,0.24510035795898782
BLZ,20-64,2.196096397350182,1.5706739932006648,3.1394077720177
BLZ,65+,221.1658597651195,149.5988127732235,348.288212146647
CAN,0-4,1.0074761299459252,0.7205587869393477,1.4402274855925694
CAN,5-19,0.1714539977573638,0.1226259173471223,0.24510035795898782
CAN,20-64,2.196096397350182,1.5706739932006648,3.1394077720177
CAN,65+,221.1658597651195,149.5988127732235,348.288212146647
CUB,0-4,1.0074761299459252,0.7205587869393477,1.4402274855925694
CUB,5-19,0.1714539977573638,0.1226259173471223,0.24510035795898782
CUB,20-64,2.196096397350182,1.5706739932006648,3.1394077720177
CUB,65+,221.1658597651195,149.5988127732235,348.288212146647
ECU,0-4,1.0074761299459252,0.7205587869393477,1.4402274855925694
ECU,5-19,0.1714539977573638,0.1226259173471223,0.24510035795898782
ECU,20-64,2.196096397350182,1.5706739932006648,3.1394077720177
ECU,65+,221.1658597651195,149.5988127732235,348.288212146647
GTM,0-4,1.0074761299459252,0.7205587869393477,1.4402274855925694
GTM,5-19,0.1714539977573638,0.1226259173471223,0.24510035795898782
GTM,20-64,2.196096397350182,1.5706739932006648,3.1394077720177
GTM,65+,221.1658597651195,149.5988127732235,348.288212146647
HND,0-4,1.0074761299459252,0.7205587869393477,1.4402274855925694
HND,5-19,0.1714539977573638,0.1226259173471223,0.24510035795898782
HND,20-64,2.196096397350182,1.5706739932006648,3.1394077720177
HND,65+,221.1658597651195,149.5988127732235,348.288212146647
MEX,0-4,1.0074761299459252,0.7205587869393477,1.4402274855925694
MEX,5-19,0.1714539977573638,0.1226259173471223,0.24510035795898782
MEX,20-64,2.196096397350182,1.5706739932006648,3.1394077720177
MEX,65+,221.1658597651195,149.5988127732235,348.288212146647
NIC,0-4,1.0074761299459252,0.7205587869393477,1.4402274855925694
NIC,5-19,0.1714539977573638,0.1226259173471223,0.24510035795898782
NIC,20-64,2.196096397350182,1.5706739932006648,3.1394077720177
NIC,65+,221.1658597651195,149.5988127732235,348.288212146647
PER,0-4,1.0074761299459252,0.7205587869393477,1.4402274855925694
PER,5-19,0.1714539977573638,0.1226259173471223,0.24510035795898782
PER,20-64,2.196096397350182,1.5706739932006648,3.1394077720177
PER,65+,221.1658597651195,149.5988127732235,348.288212146647
PRI,0-4,1.0074761299459252,0.7205587869393477,1.4402274855925694
PRI,5-19,0.1714539977573638,0.1226259173471223,0.24510035795898782
PRI,20-64,2.196096397350182,1.5706739932006648,3.1394077720177
PRI,65+,221.1658597651195,149.5988127732235,348.288212146647
USA,0-4,1.0074761299459252,0.7205587869393477,1.4402274855925694
USA,5-19,0.1714539977573638,0.1226259173471223,0.24510035795898782
USA,20-64,2.196096397350182,1.5706739932006648,3.1394077720177
USA,65+,221.1658597651195,149.5988127732235,348.288212146647
