country_code,simulation_index,age_grp,ifr,iso3c,itz
VNM,3,1,5.537619625413738e-5,VNM,Eastern and Southern Asia
JPN,3,1,2.0989807859522524e-6,JPN,Eastern and Southern Asia
TWN,3,1,2.703337275870041e-6,TWN,Eastern and Southern Asia
BGD,4,1,1.4036037536596427e-4,BGD,Eastern and Southern Asia
BRN,4,1,1.7573805657025986e-5,BRN,Eastern and Southern Asia
BTN,4,1,2.990023477388066e-5,BTN,Eastern and Southern Asia
CHN,4,1,1.5680263077247225e-5,CHN,Eastern and Southern Asia
HKG,4,1,3.2761177865641407e-6,HKG,Eastern and Southern Asia
IDN,4,1,1.891270122304979e-4,IDN,Eastern and Southern Asia
IND,4,1,3.245187207690141e-4,IND,Eastern and Southern Asia
KHM,4,1,4.070041770770557e-4,KHM,Eastern and Southern Asia
KOR,4,1,1.8654773605948067e-6,KOR,Eastern and Southern Asia
LAO,4,1,2.1104201766643571e-4,LAO,Eastern and Southern Asia
LKA,4,1,9.650478816415576e-6,LKA,Eastern and Southern Asia
MAC,4,1,1.2860093435951325e-5,MAC,Eastern and Southern Asia
MDV,4,1,2.215846253806511e-5,MDV,Eastern and Southern Asia
MMR,4,1,3.4693008371002006e-5,MMR,Eastern and Southern Asia
MNG,4,1,4.688559718777367e-5,MNG,Eastern and Southern Asia
MYS,4,1,3.6852050922457995e-5,MYS,Eastern and Southern Asia
NPL,4,1,1.224010648895973e-4,NPL,Eastern and Southern Asia
PHL,4,1,2.992836770182326e-4,PHL,Eastern and Southern Asia
PNG,4,1,2.8238811815278357e-4,PNG,Eastern and Southern Asia
PRK,4,1,2.330702967163053e-5,PRK,Eastern and Southern Asia
RUS,4,1,2.863740312544276e-5,RUS,Eastern and Southern Asia
SGP,4,1,1.4266609756473842e-5,SGP,Eastern and Southern Asia
THA,4,1,9.525565175149495e-6,THA,Eastern and Southern Asia
TLS,4,1,4.214629876363376e-4,TLS,Eastern and Southern Asia
VNM,4,1,1.5200495304752008e-5,VNM,Eastern and Southern Asia
JPN,4,1,3.4189444883844983e-6,JPN,Eastern and Southern Asia
TWN,4,1,2.9284559771563744e-6,TWN,Eastern and Southern Asia
BGD,5,1,4.954428659975628e-4,BGD,Eastern and Southern Asia
BRN,5,1,1.5138025036238641e-5,BRN,Eastern and Southern Asia
BTN,5,1,9.692719562608649e-5,BTN,Eastern and Southern Asia
CHN,5,1,2.9223366973696044e-5,CHN,Eastern and Southern Asia
HKG,5,1,3.209546662676264e-6,HKG,Eastern and Southern Asia
IDN,5,1,3.59959195151685e-5,IDN,Eastern and Southern Asia
IND,5,1,5.171946681725268e-5,IND,Eastern and Southern Asia
KHM,5,1,2.88343620623679e-4,KHM,Eastern and Southern Asia
KOR,5,1,1.6971521228288787e-6,KOR,Eastern and Southern Asia
LAO,5,1,3.2670878660340014e-4,LAO,Eastern and Southern Asia
LKA,5,1,8.777951256960757e-6,LKA,Eastern and Southern Asia
MAC,5,1,9.52534585782839e-6,MAC,Eastern and Southern Asia
MDV,5,1,1.9017452450170782e-5,MDV,Eastern and Southern Asia
MMR,5,1,1.538497308246082e-4,MMR,Eastern and Southern Asia
MNG,5,1,4.95627228802169e-5,MNG,Eastern and Southern Asia
MYS,5,1,2.248046224358199e-4,MYS,Eastern and Southern Asia
NPL,5,1,6.990283639795962e-5,NPL,Eastern and Southern Asia
PHL,5,1,9.247045275602842e-5,PHL,Eastern and Southern Asia
PNG,5,1,1.8229689002968247e-4,PNG,Eastern and Southern Asia
PRK,5,1,7.5695596065101024e-6,PRK,Eastern and Southern Asia
RUS,5,1,3.0384948769067063e-5,RUS,Eastern and Southern Asia
SGP,5,1,1.297794656542865e-5,SGP,Eastern and Southern Asia
THA,5,1,1.807716568130638e-5,THA,Eastern and Southern Asia
TLS,5,1,9.355522773461796e-6,TLS,Eastern and Southern Asia
VNM,5,1,3.7172542911264694e-5,VNM,Eastern and Southern Asia
JPN,5,1,2.474313205331693e-6,JPN,Eastern and Southern Asia
TWN,5,1,2.953540026202277e-6,TWN,Eastern and Southern Asia
BGD,6,1,3.168347528736859e-4,BGD,Eastern and Southern Asia
BRN,6,1,1.4575554100703885e-5,BRN,Eastern and Southern Asia
BTN,6,1,1.1177513959989701e-4,BTN,Eastern and Southern Asia
CHN,6,1,1.9502913671942412e-5,CHN,Eastern and Southern Asia
HKG,6,1,4.022796158855751e-6,HKG,Eastern and Southern Asia
IDN,6,1,1.7187321133907313e-4,IDN,Eastern and Southern Asia
IND,6,1,2.028516426353495e-4,IND,Eastern and Southern Asia
KHM,6,1,1.0334574399594872e-4,KHM,Eastern and Southern Asia
KOR,6,1,2.479292947689196e-6,KOR,Eastern and Southern Asia
LAO,6,1,3.1083735233686027e-4,LAO,Eastern and Southern Asia
LKA,6,1,7.843123561432713e-6,LKA,Eastern and Southern Asia
MAC,6,1,6.838748106995447e-6,MAC,Eastern and Southern Asia
MDV,6,1,1.179037016204244e-5,MDV,Eastern and Southern Asia
MMR,6,1,3.518930021597243e-4,MMR,Eastern and Southern Asia
MNG,6,1,6.181249902535661e-5,MNG,Eastern and Southern Asia
MYS,6,1,7.685009407380728e-5,MYS,Eastern and Southern Asia
NPL,6,1,1.7106617776657248e-4,NPL,Eastern and Southern Asia
PHL,6,1,3.746804627744476e-4,PHL,Eastern and Southern Asia
PNG,6,1,2.3834239529214236e-4,PNG,Eastern and Southern Asia
PRK,6,1,2.6391510566915706e-5,PRK,Eastern and Southern Asia
RUS,6,1,2.0954630140196888e-5,RUS,Eastern and Southern Asia
SGP,6,1,1.2991802718974344e-5,SGP,Eastern and Southern Asia
THA,6,1,8.921468186211406e-6,THA,Eastern and Southern Asia
TLS,6,1,3.6761508051834466e-4,TLS,Eastern and Southern Asia
VNM,6,1,6.839694946705295e-5,VNM,Eastern and Southern Asia
JPN,6,1,2.559504837066753e-6,JPN,Eastern and Southern Asia
TWN,6,1,2.959026414227814e-6,TWN,Eastern and Southern Asia
BGD,7,1,3.3573318180412135e-4,BGD,Eastern and Southern Asia
BRN,7,1,6.172890929630878e-6,BRN,Eastern and Southern Asia
BTN,7,1,3.91805346922943e-4,BTN,Eastern and Southern Asia
CHN,7,1,1.6256348500248308e-5,CHN,Eastern and Southern Asia
HKG,7,1,3.1988002974912074e-6,HKG,Eastern and Southern Asia
IDN,7,1,1.6880983328283468e-4,IDN,Eastern and Southern Asia
IND,7,1,5.206034473466519e-5,IND,Eastern and Southern Asia
KHM,7,1,4.440780337259131e-5,KHM,Eastern and Southern Asia
KOR,7,1,2.486331724284653e-6,KOR,Eastern and Southern Asia
LAO,7,1,1.7419614736859917e-4,LAO,Eastern and Southern Asia
LKA,7,1,4.721765504777876e-5,LKA,Eastern and Southern Asia
MAC,7,1,1.193931585195163e-5,MAC,Eastern and Southern Asia
MDV,7,1,9.015420999297006e-6,MDV,Eastern and Southern Asia
MMR,7,1,5.693658603472933e-4,MMR,Eastern and Southern Asia
MNG,7,1,2.932035951027307e-5,MNG,Eastern and Southern Asia
MYS,7,1,1.0491006765805687e-4,MYS,Eastern and Southern Asia
NPL,7,1,3.767976280183846e-5,NPL,Eastern and Southern Asia
PHL,7,1,1.877226689944707e-4,PHL,Eastern and Southern Asia
PNG,7,1,4.8975306436557584e-5,PNG,Eastern and Southern Asia
PRK,7,1,1.639663581403389e-5,PRK,Eastern and Southern Asia
RUS,7,1,9.074291799282418e-6,RUS,Eastern and Southern Asia
SGP,7,1,1.1316300640442223e-5,SGP,Eastern and Southern Asia
THA,7,1,3.626455441510441e-5,THA,Eastern and Southern Asia
TLS,7,1,2.735136803052425e-4,TLS,Eastern and Southern Asia
VNM,7,1,8.987581833388536e-5,VNM,Eastern and Southern Asia
JPN,7,1,2.595438997023644e-6,JPN,Eastern and Southern Asia
TWN,7,1,1.6222133362025849e-6,TWN,Eastern and Southern Asia
BGD,8,1,1.220029237748366e-4,BGD,Eastern and Southern Asia
BRN,8,1,3.2395692583837595e-5,BRN,Eastern and Southern Asia
BTN,8,1,1.7517207860791062e-4,BTN,Eastern and Southern Asia
CHN,8,1,2.330263318475907e-5,CHN,Eastern and Southern Asia
HKG,8,1,4.340899944630577e-6,HKG,Eastern and Southern Asia
IDN,8,1,5.071659128449005e-4,IDN,Eastern and Southern Asia
IND,8,1,1.2125419672502211e-4,IND,Eastern and Southern Asia
KHM,8,1,1.192150874677542e-4,KHM,Eastern and Southern Asia
KOR,8,1,1.4100075492728677e-6,KOR,Eastern and Southern Asia
LAO,8,1,5.178322299344032e-5,LAO,Eastern and Southern Asia
LKA,8,1,7.472140865231773e-5,LKA,Eastern and Southern Asia
MAC,8,1,5.656083111963169e-6,MAC,Eastern and Southern Asia
MDV,8,1,2.129095002785369e-5,MDV,Eastern and Southern Asia
MMR,8,1,2.9805866627644675e-4,MMR,Eastern and Southern Asia
MNG,8,1,3.523179490704992e-5,MNG,Eastern and Southern Asia
MYS,8,1,9.163737250373171e-5,MYS,Eastern and Southern Asia
NPL,8,1,2.722828865170946e-4,NPL,Eastern and Southern Asia
PHL,8,1,2.3551022656544484e-4,PHL,Eastern and Southern Asia
PNG,8,1,2.8708355185608545e-4,PNG,Eastern and Southern Asia
PRK,8,1,4.362705267523825e-5,PRK,Eastern and Southern Asia
RUS,8,1,3.336621005105504e-5,RUS,Eastern and Southern Asia
SGP,8,1,1.422089947099916e-5,SGP,Eastern and Southern Asia
THA,8,1,1.3281814175162496e-5,THA,Eastern and Southern Asia
TLS,8,1,7.779352732358879e-4,TLS,Eastern and Southern Asia
VNM,8,1,1.6153808532449173e-5,VNM,Eastern and Southern Asia
JPN,8,1,2.8513734380176093e-6,JPN,Eastern and Southern Asia
