country,metasource,STRAIN,n_data_points,start_date,end_date,min_val,max_val,index
China,NONSENT,INF_A,206,2016-10-10,2017-04-10,0,6058,11
China,NONSENT,INF_A,216,2017-06-26,2017-09-25,0,6058,12
China,NONSENT,INF_A,223,2017-11-20,2018-03-12,0,6058,13
China,NONSENT,INF_A,259,2018-11-26,2019-04-01,0,6058,14
China,NONSENT,INF_A,287,2019-11-11,2020-01-27,0,6058,15
China,NONSENT,INF_B,0,2010-01-04,2010-06-07,0,6058,1
China,NONSENT,INF_B,32,2011-01-24,2011-05-30,0,6058,2
China,NONSENT,INF_B,52,2011-10-24,2012-04-16,0,6058,3
China,NONSENT,INF_B,132,2013-11-11,2014-04-28,0,6058,4
China,NONSENT,INF_B,164,2014-12-15,2015-05-18,0,6058,5
China,NONSENT,INF_B,192,2015-12-07,2016-06-13,0,6058,6
China,NONSENT,INF_B,262,2017-10-23,2018-03-26,0,6058,7
China,NONSENT,INF_B,308,2019-02-18,2019-08-19,0,6058,8
China,NONSENT,INF_B,317,2019-11-18,2020-02-03,0,6058,9
Ghana,NONSENT,INF_A,2,2010-01-18,2010-08-30,0,203,1
Ghana,NONSENT,INF_A,39,2011-05-23,2011-07-11,0,203,2
Ghana,NONSENT,INF_A,83,2012-05-21,2012-07-16,0,203,3
Ghana,NONSENT,INF_A,94,2012-10-08,2012-12-17,0,203,4
Ghana,NONSENT,INF_A,135,2013-10-07,2013-12-16,0,203,5
Ghana,NONSENT,INF_A,151,2014-04-14,2014-06-09,0,203,6
Ghana,NONSENT,INF_A,191,2015-03-23,2015-05-18,0,203,7
Ghana,NONSENT,INF_A,229,2016-02-22,2016-07-18,0,203,8
Ghana,NONSENT,INF_A,274,2017-06-05,2017-08-21,0,203,9
Ghana,NONSENT,INF_A,275,2017-09-04,2017-10-23,0,203,10
Ghana,NONSENT,INF_A,276,2017-11-06,2018-02-12,0,203,11
Ghana,NONSENT,INF_A,306,2018-09-17,2018-11-19,0,203,12
Ghana,NONSENT,INF_A,330,2019-05-13,2019-07-29,0,203,13
