exemplar_code,simulation_cal_year,year,N_A_match,N_B_match,S_A_match,S_B_match,num_epis,epidID,strain,timestep,month,day,sus,trans,infected,reporting,simulation_index,pushback,init_ageing_date,init_nye,pushback_T
ARG,29,2013,FALSE,FALSE,FALSE,TRUE,2,ARGB130617,INF_B,7188,06,17,0.6650031304117391,0.08560332104526429,3296.312938173748,1.4564976695521524e-4,1,154,NA,NA,FALSE
ARG,30,2011,FALSE,FALSE,TRUE,TRUE,1,ARGA110509,INF_A,489,05,09,0.6356696054113332,0.09119459251687542,1670.6457906981937,4.753357149595925e-4,1,112,NA,NA,FALSE
ARG,1,2012,FALSE,TRUE,TRUE,TRUE,2,ARGA120625,INF_A,2759,06,25,0.6360541019363846,0.09096443152651393,2568.7694974463825,4.487371030585954e-4,2,119,NA,NA,FALSE
ARG,1,2012,FALSE,TRUE,TRUE,TRUE,2,ARGB120702,INF_B,4220,07,02,0.5741415754883539,0.1022012887733919,1696.2295317685064,2.4308538159574557e-4,2,98,NA,NA,FALSE
ARG,2,2018,TRUE,TRUE,TRUE,TRUE,2,ARGA180521,INF_A,6857,05,21,0.6594930177750579,0.08886255413584902,1011.5006190122261,6.211599593624067e-4,2,91,NA,NA,FALSE
ARG,2,2018,TRUE,TRUE,TRUE,TRUE,2,ARGB180514,INF_B,1284,05,14,0.5460529220931494,0.10679915645192795,636.346819030357,3.962029960852872e-4,2,77,NA,NA,FALSE
ARG,3,2012,TRUE,TRUE,TRUE,TRUE,2,ARGA120625,INF_A,7577,06,25,0.6641508639616389,0.08750402499836082,2259.474432057554,4.2892126610542185e-4,2,112,NA,NA,FALSE
ARG,3,2012,TRUE,TRUE,TRUE,TRUE,2,ARGB120702,INF_B,2325,07,02,0.5980682363085689,0.09790858258708736,1709.7985331083496,2.4333929636987604e-4,2,105,NA,NA,FALSE
ARG,4,2012,TRUE,FALSE,TRUE,TRUE,2,ARGA120625,INF_A,4468,06,25,0.6515752001389814,0.08896194384929887,2317.7242011267826,4.5533448113103725e-4,2,119,NA,NA,FALSE
ARG,4,2012,TRUE,FALSE,TRUE,TRUE,2,ARGB120702,INF_B,2786,07,02,0.6380393660267267,0.0918358942944244,1657.5915791062212,2.4924451574833757e-4,2,98,NA,NA,FALSE
ARG,5,2013,FALSE,TRUE,TRUE,TRUE,2,ARGA130506,INF_A,450,05,06,0.6954724134226805,0.08634581854102405,3415.7543325080896,0.0011019450940116917,2,91,NA,NA,FALSE
ARG,5,2013,FALSE,TRUE,TRUE,TRUE,2,ARGB130617,INF_B,1277,06,17,0.6484427279772305,0.08811761697766583,2848.2313470020085,1.4837190120649794e-4,2,147,NA,NA,FALSE
ARG,6,2016,FALSE,TRUE,TRUE,TRUE,2,ARGA160307,INF_A,2459,03,07,0.685970736470786,0.09094321350275825,225.8253400134643,8.924941214059276e-4,2,42,NA,NA,FALSE
ARG,6,2016,FALSE,TRUE,TRUE,TRUE,2,ARGB160314,INF_B,2810,03,14,0.661143139999877,0.06752814738854897,1691.1930807668384,3.9283789000630503e-4,2,NA,69.3362282763971,NA,FALSE
ARG,7,2015,FALSE,TRUE,FALSE,TRUE,1,ARGA150601,INF_A,7893,06,01,0.6019617856955533,0.08120617453035608,2326.5462282588514,2.9404334607542365e-4,2,91,NA,NA,FALSE
ARG,8,2010,FALSE,FALSE,FALSE,TRUE,2,ARGA100906,INF_A,3418,09,06,0.6236052932588269,0.10124419539324939,6312.116252191576,1.4421696657553152e-4,2,70,NA,NA,FALSE
ARG,8,2010,FALSE,FALSE,FALSE,TRUE,2,ARGB100524,INF_B,5939,05,24,0.6899744511798,0.08322763541649364,5444.498273952796,2.3140287729501261e-4,2,147,NA,NA,FALSE
ARG,9,2017,TRUE,FALSE,TRUE,FALSE,2,ARGA170327,INF_A,4335,03,27,0.5862664422377913,0.08739379931590388,449.0726694552163,6.315460565130491e-4,2,49,NA,NA,FALSE
ARG,9,2017,TRUE,FALSE,TRUE,FALSE,2,ARGB170424,INF_B,4443,04,24,0.6753426724597067,0.08279980278240157,3690.9499341831806,3.5379356024373024e-4,2,203,NA,NA,FALSE
ARG,10,2017,TRUE,TRUE,TRUE,TRUE,2,ARGA170327,INF_A,6286,03,27,0.7072308939329313,0.07251874433153233,443.74833694041956,6.323559928211963e-4,2,49,NA,NA,FALSE
ARG,10,2017,TRUE,TRUE,TRUE,TRUE,2,ARGB170424,INF_B,1949,04,24,0.6602404494191193,0.084467145297166,3643.351344659382,3.593278071988705e-4,2,NA,10,NA,FALSE
ARG,11,2014,TRUE,TRUE,TRUE,TRUE,2,ARGA140526,INF_A,7924,05,26,0.7060536982964842,0.08312793810906495,5271.632620920947,3.7350475165941877e-4,2,119,NA,NA,FALSE
ARG,11,2014,TRUE,TRUE,TRUE,TRUE,2,ARGB140602,INF_B,8803,06,02,0.6847488511429227,0.08709204537333165,2865.3536555871005,9.971007536797051e-5,2,98,NA,NA,FALSE
ARG,12,2013,TRUE,TRUE,FALSE,TRUE,2,ARGA130506,INF_A,4453,05,06,0.7410498192121444,0.08107088486511385,3453.42481108096,0.001091358720731103,2,91,NA,NA,FALSE
ARG,12,2013,TRUE,TRUE,FALSE,TRUE,2,ARGB130617,INF_B,8415,06,17,0.7009792812078325,0.08140470682070446,3010.7075044808826,1.5819766757471207e-4,2,147,NA,NA,FALSE
ARG,13,2015,FALSE,TRUE,TRUE,TRUE,1,ARGA150601,INF_A,9742,06,01,0.5464733106366043,0.08890585991987153,2455.480034772335,3.0883211597550816e-4,2,98,NA,NA,FALSE
ARG,14,2019,FALSE,TRUE,FALSE,TRUE,2,ARGA190318,INF_A,1312,03,18,0.6562151869990582,0.07239830350636507,609.9474755279442,0.0011379976012032408,2,91,NA,NA,FALSE
ARG,14,2019,FALSE,TRUE,FALSE,TRUE,2,ARGB190715,INF_B,8052,07,15,0.6188802585471674,0.09035710578430768,2745.8231823449237,1.8246520531917928e-4,2,189,NA,NA,FALSE
ARG,15,2013,FALSE,TRUE,TRUE,TRUE,2,ARGA130506,INF_A,6899,05,06,0.5900587416891508,0.10175521869053496,3387.8597997961883,0.0010748700910144181,2,91,NA,NA,FALSE
ARG,15,2013,FALSE,TRUE,TRUE,TRUE,2,ARGB130617,INF_B,5342,06,17,0.5344848943354552,0.10680782945889372,3089.687190454763,1.419119749053486e-4,2,140,NA,NA,FALSE
ARG,16,2011,TRUE,TRUE,TRUE,FALSE,1,ARGA110509,INF_A,8585,05,09,0.6882827432323058,0.08405612198628441,1831.6283183957778,4.945680403980168e-4,2,112,NA,NA,FALSE
ARG,17,2015,TRUE,FALSE,TRUE,TRUE,1,ARGA150601,INF_A,7867,06,01,0.6459879903592163,0.07545032540613855,2668.4095958397547,3.095290662438391e-4,2,98,NA,NA,FALSE
ARG,18,2015,TRUE,FALSE,TRUE,FALSE,1,ARGA150601,INF_A,5917,06,01,0.6746820905634676,0.07219072746397814,2429.915020188909,3.066426904135861e-4,2,98,NA,NA,FALSE
